make,address,all,num3d,our,over,remove,internet,order,mail,receive,will,people,report,addresses,free,business,email,you,credit,your,font,num000,money,hp,hpl,george,num650,lab,labs,telnet,num857,data,num415,num85,technology,num1999,parts,pm,direct,cs,meeting,original,project,re,edu,table,conference,charSemicolon,charRoundbracket,charSquarebracket,charExclamation,charDollar,charHash,capitalAve,capitalLong,capitalTotal,type
0.00, 0.64,0.64, 0.00, 0.32,0.00,0.00, 0.00,0.00, 0.00,0.00,0.64,0.00, 0.00,0.00, 0.32,0.00,1.29, 1.93, 0.00, 0.96, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.778,0.000, 0.000,   3.756,  61,  278,spam
0.21, 0.28,0.50, 0.00, 0.14,0.28,0.21, 0.07,0.00, 0.94,0.21,0.79,0.65, 0.21,0.14, 0.14,0.07,0.28, 3.47, 0.00, 1.59, 0.00,0.43, 0.43, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.07,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.132,0.000, 0.372,0.180, 0.048,   5.114, 101, 1028,spam
0.06, 0.00,0.71, 0.00, 1.23,0.19,0.19, 0.12,0.64, 0.25,0.38,0.45,0.12, 0.00,1.75, 0.06,0.06,1.03, 1.36, 0.32, 0.51, 0.00,1.16, 0.06, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.06,0.00, 0.00,0.12, 0.00, 0.06, 0.06,0.00, 0.00,0.010,0.143,0.000, 0.276,0.184, 0.010,   9.821, 485, 2259,spam
0.00, 0.00,0.00, 0.00, 0.63,0.00,0.31, 0.63,0.31, 0.63,0.31,0.31,0.31, 0.00,0.00, 0.31,0.00,0.00, 3.18, 0.00, 0.31, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.137,0.000, 0.137,0.000, 0.000,   3.537,  40,  191,spam
0.00, 0.00,0.00, 0.00, 0.63,0.00,0.31, 0.63,0.31, 0.63,0.31,0.31,0.31, 0.00,0.00, 0.31,0.00,0.00, 3.18, 0.00, 0.31, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.135,0.000, 0.135,0.000, 0.000,   3.537,  40,  191,spam
0.00, 0.00,0.00, 0.00, 1.85,0.00,0.00, 1.85,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.223,0.000, 0.000,0.000, 0.000,   3.000,  15,   54,spam
0.00, 0.00,0.00, 0.00, 1.92,0.00,0.00, 0.00,0.00, 0.64,0.96,1.28,0.00, 0.00,0.00, 0.96,0.00,0.32, 3.85, 0.00, 0.64, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.054,0.000, 0.164,0.054, 0.000,   1.671,   4,  112,spam
0.00, 0.00,0.00, 0.00, 1.88,0.00,0.00, 1.88,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.206,0.000, 0.000,0.000, 0.000,   2.450,  11,   49,spam
0.15, 0.00,0.46, 0.00, 0.61,0.00,0.30, 0.00,0.92, 0.76,0.76,0.92,0.00, 0.00,0.00, 0.00,0.00,0.15, 1.23, 3.53, 2.00, 0.00,0.00, 0.15, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.15,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.30, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.271,0.000, 0.181,0.203, 0.022,   9.744, 445, 1257,spam
0.06, 0.12,0.77, 0.00, 0.19,0.32,0.38, 0.00,0.06, 0.00,0.00,0.64,0.25, 0.00,0.12, 0.00,0.00,0.12, 1.67, 0.06, 0.71, 0.00,0.19, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.06, 0.00, 0.00,0.00, 0.00,0.040,0.030,0.000, 0.244,0.081, 0.000,   1.729,  43,  749,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.96, 0.00,0.00, 1.92,0.96,0.00,0.00, 0.00,0.00, 0.00,0.00,0.96, 3.84, 0.00, 0.96, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.96,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.462,0.000, 0.000,   1.312,   6,   21,spam
0.00, 0.00,0.25, 0.00, 0.38,0.25,0.25, 0.00,0.00, 0.00,0.12,0.12,0.12, 0.00,0.00, 0.00,0.00,0.00, 1.16, 0.00, 0.77, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.022,0.044,0.000, 0.663,0.000, 0.000,   1.243,  11,  184,spam
0.00, 0.69,0.34, 0.00, 0.34,0.00,0.00, 0.00,0.00, 0.00,0.00,0.69,0.00, 0.00,0.00, 0.34,0.00,1.39, 2.09, 0.00, 1.04, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.056,0.000, 0.786,0.000, 0.000,   3.728,  61,  261,spam
0.00, 0.00,0.00, 0.00, 0.90,0.00,0.90, 0.00,0.00, 0.90,0.90,0.00,0.90, 0.00,0.00, 0.00,0.00,0.00, 2.72, 0.00, 0.90, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.000,0.000, 0.000,   2.083,   7,   25,spam
0.00, 0.00,1.42, 0.00, 0.71,0.35,0.00, 0.35,0.00, 0.71,0.00,0.35,0.00, 0.00,0.00, 5.35,0.00,0.00, 3.21, 0.00, 2.85, 0.00,0.35, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.102,0.000, 0.357,0.000, 0.000,   1.971,  24,  205,spam
0.00, 0.42,0.42, 0.00, 1.27,0.00,0.42, 0.00,0.00, 1.27,0.00,0.00,0.00, 0.00,0.00, 1.27,0.00,0.00, 1.70, 0.42, 1.27, 0.00,0.00, 0.42, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,1.27,0.00, 0.00,0.42,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.063,0.000, 0.572,0.063, 0.000,   5.659,  55,  249,spam
0.00, 0.00,0.00, 0.00, 0.94,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 1.88, 0.00, 2.83, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 0.428,0.000, 0.000,   4.652,  31,  107,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 2.11, 0.00,0.70, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.000,0.000, 1.975,0.370, 0.000,  35.461,  95,  461,spam
0.00, 0.00,0.55, 0.00, 1.11,0.00,0.18, 0.00,0.00, 0.00,0.00,0.00,0.92, 0.00,0.18, 0.00,0.37,0.37, 3.15, 0.00, 0.92, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.182,0.000, 0.455,0.000, 0.000,   1.320,   4,   70,spam
0.00, 0.63,0.00, 0.00, 1.59,0.31,0.00, 0.00,0.31, 0.00,0.00,0.63,0.00, 0.00,1.27, 0.63,0.31,3.18, 2.22, 0.00, 1.91, 0.00,0.31, 0.63, 0.00, 0.00, 0.00,0.31, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,1.59,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.275,0.000, 0.055,0.496, 0.000,   3.509,  91,  186,spam
0.00, 0.00,0.00, 0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00, 0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.000,0.729,0.000, 0.729,0.000, 0.000,   3.833,   9,   23,spam
0.05, 0.07,0.10, 0.00, 0.76,0.05,0.15, 0.02,0.55, 0.00,0.10,0.47,0.02, 0.00,0.00, 0.00,0.02,0.13, 2.09, 0.10, 1.57, 0.00,0.05, 0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.00, 0.00,0.02,0.10,0.00, 0.00,0.00,0.00, 0.00,0.00, 0.00, 0.00, 0.00,0.00, 0.00,0.042,0.101,0.016, 0.250,0.046, 0.059,   2.569,  66, 2259,spam
